"X","Y","orig_ident","reads_per_cell","genes_per_cell","cluster_id","cluster_name","index","dat"
4549.77124718411,5480.77766400437,0,310,172,1,"eL6","Dat1_Cell_00008",1
4553.47311391818,9229.17742496234,0,533,277,5,"eL4","Dat1_Cell_00009",1
4546.31549262676,12047.5663592033,0,452,237,11,"eL2/3","Dat1_Cell_00012",1
4537.61281062169,3780.98026374809,0,288,183,4,"eL6","Dat1_Cell_00014",1
4545.35031185031,8082.7936012936,0,457,268,1,"eL5","Dat1_Cell_00015",1
4550.13700344073,5191.68364091336,0,472,260,13,"eL6","Dat1_Cell_00016",1
4548.95782821028,13317.1438092502,0,413,206,10,"eL6","Dat1_Cell_00019",1
4591.88149725031,3926.17491573532,0,535,294,12,"eL6","Dat1_Cell_00020",1
4584.14511966628,5657.43532364691,0,750,342,14,"eL6","Dat1_Cell_00021",1
4561.31039593479,1980.03906415414,0,304,175,7,"Micro","Dat1_Cell_00022",1
4555.56052130788,9961.6039444092,0,462,263,6,"eL4","Dat1_Cell_00023",1
4558.75377177628,13133.1580395099,0,429,206,5,"eL2/3","Dat1_Cell_00024",1
4573.605963991,11188.0792073018,0,290,158,10,"eL2/3","Dat1_Cell_00025",1
4573.38752389719,12565.7230404305,0,810,374,4,"eL4","Dat1_Cell_00026",1
4581.66815502768,13621.7103054117,0,470,226,2,"eL2/3","Dat1_Cell_00027",1
4574.05760602113,4716.01394316592,0,447,241,1,"eL6","Dat1_Cell_00028",1
4578.53595908468,1069.0051671412,0,260,157,1,"Endo","Dat1_Cell_00029",1
4589.30364673778,3351.33945257587,0,243,131,7,"Oligo","Dat1_Cell_00030",1
4597.24617916765,1824.54543851399,0,346,177,9,"Astro","Dat1_Cell_00032",1
4634.01750160565,3772.78949903661,0,445,256,2,"eL6","Dat1_Cell_00033",1
4625.94064051503,9637.06547002019,0,477,250,4,"eL5","Dat1_Cell_00034",1
4622.75309376487,9765.44990480723,0,308,184,5,"eL4","Dat1_Cell_00035",1
4638.48084990466,4103.86477798965,0,331,180,7,"eL6","Dat1_Cell_00036",1
4626.79167387419,10356.9047454304,0,417,224,10,"eL4","Dat1_Cell_00037",1
4633.46355442088,10493.9754598031,0,419,216,2,"eL2/3","Dat1_Cell_00039",1
4635.47829931188,11506.3656633222,0,413,213,8,"Endo","Dat1_Cell_00040",1
4633.09269435914,12266.1233230968,0,299,162,5,"eL2/3","Dat1_Cell_00041",1
4643.75221975583,5010.07820014798,0,517,271,12,"eL5","Dat1_Cell_00042",1
4627.16596127394,13422.5309491059,0,322,168,6,"eL4","Dat1_Cell_00043",1
4654.93925470028,14214.760391198,0,555,221,8,"Micro","Dat1_Cell_00044",1
4659.90701970443,9923.85794334975,0,375,212,3,"eL4","Dat1_Cell_00046",1
4668.3947693575,3053.5340472268,0,281,156,3,"Astro","Dat1_Cell_00047",1
4657.09036392767,7373.34053559167,0,374,209,5,"eL5","Dat1_Cell_00048",1
4673.70480446011,7581.70086906616,0,541,282,11,"eL4","Dat1_Cell_00049",1
4677.94879306304,6023.49384813686,0,319,157,8,"Oligo","Dat1_Cell_00050",1
4666.74453736175,4553.37271828073,0,544,263,13,"eL6","Dat1_Cell_00051",1
4657.13121990369,6814.98825331971,0,490,244,1,"PVALB","Dat1_Cell_00052",1
4659.98455181182,1533.02193261284,0,371,198,2,"eL5","Dat1_Cell_00053",1
4687.97177837726,2746.44495746005,0,293,154,5,"Oligo","Dat1_Cell_00054",1
4673.63814262023,3311.9539800995,0,240,129,5,"Oligo","Dat1_Cell_00055",1
4670.89763558768,11804.5225693904,0,856,391,7,"eL2/3","Dat1_Cell_00056",1
4697.69518823236,9223.93896783845,0,603,318,12,"eL4","Dat1_Cell_00059",1
4688.58451053284,11127.5215613383,0,306,175,3,"Micro","Dat1_Cell_00060",1
4714.45484118737,12322.7615325532,0,699,349,11,"eL2/3","Dat1_Cell_00061",1
4684.90604125376,1434.07054246495,0,277,158,5,"Endo","Dat1_Cell_00062",1
4724.01202787271,10969.8046691225,0,593,296,4,"eL2/3","Dat1_Cell_00063",1
4717.97807037054,5905.77069525377,0,478,244,15,"eL6","Dat1_Cell_00064",1
4753.01614725231,13253.1311715064,0,292,169,12,"eL2/3","Dat1_Cell_00066",1
4755.1228003476,1846.58201173148,0,349,194,2,"Astro","Dat1_Cell_00067",1
4735.11766224824,3169.91797211224,0,237,121,11,"Oligo","Dat1_Cell_00068",1
4739.60476888868,6522.42853763543,0,408,210,6,"eL6","Dat1_Cell_00069",1
4747.52298633245,9338.50132353736,0,371,204,8,"eL4","Dat1_Cell_00070",1
4782.03272898517,3301.52331057217,0,305,158,5,"Oligo","Dat1_Cell_00071",1
4753.98379227189,3788.22270203578,0,351,205,0,"eL6","Dat1_Cell_00073",1
4797.10435875943,1520.53960603521,0,277,163,8,"eL5","Dat1_Cell_00075",1
4758.26415020229,10239.7655446011,0,618,330,10,"eL4","Dat1_Cell_00076",1
4805.89810143644,11131.2953748989,0,798,376,1,"eL2/3","Dat1_Cell_00077",1
4789.74506268247,4103.87064228061,0,567,291,11,"eL6","Dat1_Cell_00078",1
4792.28753796507,7390.98509870919,0,250,143,8,"Astro","Dat1_Cell_00079",1
4807.49964568922,12761.3897756032,0,930,398,2,"eL6","Dat1_Cell_00080",1
4826.16010796221,1407.58893387314,0,333,187,5,"Micro","Dat1_Cell_00081",1
4811.7727902805,8111.68085453359,0,662,356,3,"eL5","Dat1_Cell_00084",1
4812.20099508113,2040.94787131792,0,302,151,2,"Oligo","Dat1_Cell_00085",1
4823.97421705641,10843.7787463678,0,417,216,4,"eL2/3","Dat1_Cell_00087",1
4824.69817451974,3168.30172990538,0,226,107,1,"Oligo","Dat1_Cell_00088",1
